name,code,lead_broker,cap_raise_price,raise_amt,due_date,0 days effective_return,0 days normal_return,30 days effective_return,30 days normal_return,60 days effective_return,60 days normal_return,90 days effective_return,90 days normal_return
The Hydration Pharmaceuticals Company Limited,HPC,BW Equities,0.045,5.1m,01/08/2023 15:00,40.89,20.0,N/A,N/A,N/A,N/A,N/A,N/A
Rex Minerals Limited,RXM,Morgans Corporate + Euroz Hartleys,0.2,8M,01/08/2023 17:00,16.67,10.0,N/A,N/A,N/A,N/A,N/A,N/A
Bod Science Limited,BOD,Taylor Collison,0.08,1.5M,02/08/2023 12:00,23.74,12.5,N/A,N/A,N/A,N/A,N/A,N/A
State Gas Limited,GAS,Aitken Mount,0.15,5M-7M,02/08/2023 15:00,,20.0,N/A,N/A,N/A,N/A,N/A,N/A
Pan Asia Metals,PAM,,0.25,2.5m,02/08/2023 12:30,,12.0,N/A,N/A,N/A,N/A,N/A,N/A
Wellnex Life Limited,WNX,Salter Brothers + JB Advisory,0.05,25.3M,04/08/2023 17:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
K-Tig Limited,KTG,Morgans Corporate,0.2,13M-15M,09/08/2023 16:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Poseidon Nickel Limited,POS,Morgans Corporate + Petra Capital,0.02,6M,03/08/2023 16:00,,30.0,N/A,N/A,N/A,N/A,N/A,N/A
Melodiol Global Health Limited,ME1,Everblu,0.00821,1.5M,07/08/2023 16:00,,-2.56,N/A,N/A,N/A,N/A,N/A,N/A
Respiri Limited,RSH,Company Direct,0.034,3m,07/08/2023 17:00,,23.53,N/A,N/A,N/A,N/A,N/A,N/A
Omega Oil & Gas Limited,OMA,Prenzler,0.18,20m,04/08/2023 16:00,,-5.56,N/A,N/A,N/A,N/A,N/A,N/A
Pantoro Limited,PNR,Petra Capital + Euroz Hartleys,0.06,30M+,07/08/2023 17:00,,-8.33,N/A,N/A,N/A,N/A,N/A,N/A
Forbidden Foods Limited,FFF,Canterbury Hill,0.02,733K,08/08/2023 17:00,29.24,0.0,N/A,N/A,N/A,N/A,N/A,N/A
Adriatic Metals PLC,ADT,Morgans Corporate,3.3,45.6M,08/08/2023 13:30,,10.61,N/A,N/A,N/A,N/A,N/A,N/A
Rumble Resources Limited,RTR,Wilsons Corporate,0.135,7M,11/08/2023 11:00,,3.7,N/A,N/A,N/A,N/A,N/A,N/A
