key,name,cap,document_date,url,header,cash_flow,dollar_sign,average volume,EMA traded dollar amount,points
PEC,PERPETUAL RESOURCES LIMITED,6000324,2023-04-24T12:22:51+1000,https://announcements.asx.com.au/asxpdf/20230424/pdf/45ny80rrshvgs3.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1573000.0,$A,279439,3350.0579052981666,1
AQI,ALICANTO MINERALS LIMITED,18911788,2023-04-28T00:15:55+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p2zszqwy0jwt.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1549000.0,$A,537650,18829.363933523313,4
IBG,IRONBARK ZINC LTD,11734274,2023-04-28T09:08:14+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3lchrl3gpxv.pdf,Quarterly Cashflow Report,1543000.0,$A,1029377,8393.718553535819,2
KAL,KALGOORLIE GOLD MINING LIMITED,3233131,2023-04-20T11:23:33+1000,https://announcements.asx.com.au/asxpdf/20230420/pdf/45nv6l9rkbw5pr.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1540000.0,$A,316840,10398.361285370278,2
RMI,RESOURCE MINING CORPORATION LIMITED,25759665,2023-04-27T17:07:40+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p2j0y762121q.pdf,Quarterly Cashflow Report - March 2023,1529000.0,$A,235586,10633.617184761635,2
EVR,EV RESOURCES LTD,13103777,2023-04-27T09:25:14+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1nr8htxk5yc.pdf,Quarterly Activities and Cash Flow Report,1526000.0,$A,992118,13445.26958216407,3
EQS,EQUITY STORY GROUP LTD,4279739,2023-04-27T09:04:06+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1g8j3ftb3lt.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1514000.0,$A,79194,2778.914968908095,1
RLG,ROOLIFE GROUP LTD,4317349,2023-04-28T12:58:54+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4kp1plckx8y.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1514000.0,$A,652329,7189.993040516824,2
SSH,SSH GROUP LTD,11117975,2023-04-26T23:40:00+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p0xpx4x3pg2c.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1509000.0,$A,30794,4048.1537386152513,2
GSN,GREAT SOUTHERN MINING LIMITED,13588299,2023-04-21T11:52:42+1000,https://announcements.asx.com.au/asxpdf/20230421/pdf/45nwc0w0qj7f6k.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1507000.0,$A,330336,8420.241572867164,2
MM1,MIDAS MINERALS LTD,19793163,2023-04-28T00:08:23+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p2zbwxrrym08.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1498000.0,$A,186353,43541.897792767064,5
OZM,OZAURUM RESOURCES LIMITED,4445000,2023-04-27T09:02:42+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p1fr827y0nry.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1485000.0,$A,212949,9028.031052042777,2
VMG,VDM GROUP LIMITED,6927661,2023-04-28T14:49:36+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4wtjsljfwbb.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1481000.0,$A,790064,402.2689885830868,1
