key,name,cap,document_date,url,header,cash,cash_unit,debt,debt_unit
NES,NELSON RESOURCES LIMITED.,3067972,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4w9m11kkyn7.pdf,Quarterly Activities and Cashflow Report,897,$A’000,-,$A’000
ICN,ICON ENERGY LIMITED,3072055,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5drsc3lyjpq.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,481",$A’000,Unused,$A’000
CTQ,CARETEQ LIMITED,3089149,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s46449s2jwzy.pdf,CTQ Q4-FY23 ACTIVITIES REPORT & APPENDIX 4C,"1,853",$A’000,700,$A’000
MDI,MIDDLE ISLAND RESOURCES LIMITED,3094481,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5nd1qj9vdwc.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,659",$A’000,-,$A’000
PUA,PEAK MINERALS LIMITED,3124130,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5jlybrz8dz0.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,816,$A’000,-,$A’000
GES,GENESIS RESOURCES LIMITED,3131365,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5phf7czzvbx.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,476,$A’000,"1,590",$A’000
HXL,HEXIMA LIMITED.,3173753,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1vkfmgzdsnx.pdf,Quarterly Activities Report and Appendix 4C - Jun-2023,"2,189",$A’000,0,$A’000
T3D,333D LIMITED,3189317,2023-07-11,https://announcements.asx.com.au/asxpdf/20230711/pdf/05rjp5hkwml8p6.pdf,Appendix 4C,"72,022",$A,-,$A
ID8,IDENTITII LIMITED,3191977,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s60d95pfd6c0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,287",$A’000,-,$A’000
RCR,RINCON RESOURCES LIMITED,3225199,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3sm4ngc0hm2.pdf,Quarterly Cashflow Report,228,$A’000,Unused,$A’000
