key,name,cap,document_date,url,header,cash_flow,dollar_sign,debt_flow
TMG,TRIGG MINERALS LIMITED,2819385,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwtr6sgbs23x.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1259000.0,$A,0.0
MOH,MOHO RESOURCES LIMITED,2855355,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5smmfghx5dw.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,385000.0,$A,0.0
KEY,KEY PETROLEUM LIMITED,2951892,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1jwqwfkcm0b.pdf,June 2023 Quarterly Activities Report & Appendix 5B,345000.0,$A,0.0
CCO,THE CALMER CO INTERNATIONAL LIMITED,2968477,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1xy5043chmp.pdf,Quarterly Activity and Cashflow Report,168000.0,$A,check
YPB,YPB GROUP LTD,2973846,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1vymm6m7vmz.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1036000.0,$A,600000.0
AUE,AURUM RESOURCES LIMITED,3000000,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzvm704tlc4j.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2186000.0,$A,0.0
MHI,MERCHANT HOUSE INTERNATIONAL LIMITED,3016528,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05ry48x6smj090.pdf,June 2023 Quarterly Activities and Cash Flow Report,4165000.0,$A,172000.0
PKD,PARKD LTD,3054550,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5xclhgfd858.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,402000.0,$A,0.0
WEL,WINCHESTER ENERGY LTD,3061266,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3rd5r6nw9rp.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,358000.0,$USD,0.0
RGS,REGENEUS LTD,3064369,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4t006s9ftml.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,303000.0,$A,1947000.0
NES,NELSON RESOURCES LIMITED.,3067972,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4w9m11kkyn7.pdf,Quarterly Activities and Cashflow Report,897000.0,$A,0.0
ICN,ICON ENERGY LIMITED,3072055,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5drsc3lyjpq.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1481000.0,$A,check
CTQ,CARETEQ LIMITED,3089149,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s46449s2jwzy.pdf,CTQ Q4-FY23 ACTIVITIES REPORT & APPENDIX 4C,1853000.0,$A,700000.0
MDI,MIDDLE ISLAND RESOURCES LIMITED,3094481,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5nd1qj9vdwc.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,2659000.0,$A,0.0
PUA,PEAK MINERALS LIMITED,3124130,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5jlybrz8dz0.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,816000.0,$A,0.0
GES,GENESIS RESOURCES LIMITED,3131365,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5phf7czzvbx.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,476000.0,$A,1590000.0
