"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"ALM","ALMA METALS LIMITED","Energy","18/04/2007",14352010
"ALO","ALLOGGIO GROUP LIMITED","Consumer Services","29/11/2021",45164255
"ALQ","ALS LIMITED","Commercial & Professional Services","18/07/1952",5403311353
"ALT","ANALYTICA LIMITED","Health Care Equipment & Services","25/10/2000","SUSPENDED"
"ALU","ALTIUM LIMITED","Software & Services","04/08/1999",4774840281
"ALV","ALVO MINERALS LIMITED","Materials","20/10/2021",26801556
"ALX","ATLAS ARTERIA","Transportation","25/01/2010",8951643972
"ALY","ALCHEMY RESOURCES LIMITED","Materials","26/11/2007",17671144
"AM7","ARCADIA MINERALS LIMITED","Materials","25/06/2021",10687513
"AMA","AMA GROUP LIMITED","Commercial & Professional Services","31/08/2006",112672373
"AMC","AMCOR PLC","Materials","28/08/1969",21579699840
"AMD","ARROW MINERALS LTD","Materials","28/10/2005",9071295
"AME","ALTO METALS LIMITED","Materials","20/12/2012",34317667
"AMH","AMCIL LIMITED","Not Applic","10/02/2000",310327777
"AMI","AURELIA METALS LIMITED","Materials","08/05/2007",133672927
"AML","AEON METALS LIMITED.","Materials","14/06/2007",18878511
"AMM","ARMADA METALS LIMITED","Materials","15/12/2021",4368000
"AMN","AGRIMIN LIMITED","Materials","09/10/2007",51903447
"AMO","AMBERTECH LIMITED","Technology Hardware & Equipment","10/12/2004",19581412
"AMP","AMP LIMITED","Financial Services","15/06/1998",3212283619
"AMS","ATOMOS LIMITED","Consumer Durables & Apparel","28/12/2018","SUSPENDED"
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","Health Care Equipment & Services","05/12/2007",5954175
"AMX","AEROMETREX LIMITED","Commercial & Professional Services","10/12/2019",29394745
"AN1","ANAGENICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/12/2005",4021820
"AND","ANSARADA GROUP LIMITED","Software & Services","14/02/2020",85762145
"ANG","AUSTIN ENGINEERING LIMITED","Capital Goods","09/03/2004",154584990
"ANL","AMANI GOLD LIMITED","Materials","14/12/2006",25143441
"ANN","ANSELL LIMITED","Health Care Equipment & Services","22/08/1985",3267299641
"ANO","ADVANCE ZINCTEK LIMITED","Materials","24/02/2005",108579256
"ANP","ANTISENSE THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2001",40158872
"ANR","ANATARA LIFESCIENCES LTD","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2014",2998100
"ANX","ANAX METALS LIMITED","Materials","15/06/2004",26201269
"ANZ","ANZ GROUP HOLDINGS LIMITED","Banks","30/09/1969",68386661626
"AO1","ASSETOWL LIMITED","Software & Services","30/05/2011",1947130
"AOA","AUSMON RESOURCES LIMITED","Materials","31/03/2009",4134357
"AOF","AUSTRALIAN UNITY OFFICE FUND","Equity Real Estate Investment Trusts (REITs)","20/06/2016",247397073
"AON","APOLLO MINERALS LIMITED","Materials","31/10/2007",18430402
"APA","APA GROUP","Utilities","13/06/2000",11716345911
"APC","AUSTRALIAN POTASH LIMITED","Materials","20/12/2011",9348112
"APE","EAGERS AUTOMOTIVE LIMITED","Consumer Discretionary Distribution & Retail","17/04/1957",3232430743
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","Financial Services","30/09/2004",14526266
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","Commercial & Professional Services","12/11/2021",1935253906
"APS","ALLUP SILICA LIMITED","Materials","02/05/2022",4648142
"APW","AIMS PROPERTY SECURITIES FUND","Equity Real Estate Investment Trusts (REITs)","17/12/2004",51864732
"APX","APPEN LIMITED","Software & Services","07/01/2015",356850602
"APZ","ASPEN GROUP","Equity Real Estate Investment Trusts (REITs)","11/04/1991",318472784
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","Materials","17/12/1999",45150424
"AQD","AUSQUEST LIMITED","Materials","25/11/2003",12377238
"AQI","ALICANTO MINERALS LIMITED","Materials","19/09/2012",18911788
"AQN","AQUIRIAN LIMITED","Commercial & Professional Services","27/07/2021",13695502
"AQS","AQUIS ENTERTAINMENT LIMITED","Consumer Services","02/12/2011",33325389
"AQX","ALICE QUEEN LIMITED","Materials","09/09/2004",2530288
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","Transportation","20/12/2011",442020417
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","Materials","03/11/2021",113340653
"AR3","AUSTRALIAN RARE EARTHS LIMITED","Materials","01/07/2021",43682540
"AR9","ARCHTIS LIMITED","Software & Services","21/09/2018",21704105
"ARA","ARIADNE AUSTRALIA LIMITED","Commercial & Professional Services","12/10/1982",105888150
"ARB","ARB CORPORATION LIMITED.","Automobiles & Components","26/06/1987",2262656680
"ARC","ARC FUNDS LIMITED","Financial Services","14/04/2000",6015270
"ARD","ARGENT MINERALS LIMITED","Materials","03/04/2008",11764812
"ARE","ARGONAUT RESOURCES NL","Materials","23/01/1986",6361871
"ARF","ARENA REIT.","Equity Real Estate Investment Trusts (REITs)","13/06/2013",1304622879
"ARG","ARGO INVESTMENTS LIMITED","Not Applic","31/03/1963",6573407818
"ARL","ARDEA RESOURCES LIMITED","Materials","09/02/2017",54146853
"ARN","ALDORO RESOURCES LIMITED","Materials","13/09/2018",14786612
"ARO","ASTRO RESOURCES NL","Materials","14/08/1986",17191633
"ARR","AMERICAN RARE EARTHS LIMITED","Materials","17/02/2011",55940412
"ART","AIRTASKER LIMITED","Media & Entertainment","23/03/2021",78829743
"ARU","ARAFURA RARE EARTHS LTD","Materials","05/11/2003",665709878
"ARV","ARTEMIS RESOURCES LIMITED","Materials","16/03/2007",22763816
"ARX","AROA BIOSURGERY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/07/2020",308798521
"AS2","ASKARI METALS LIMITED","Materials","07/07/2021",21811031
"ASB","AUSTAL LIMITED","Capital Goods","08/12/1998",891607013
"ASG","AUTOSPORTS GROUP LIMITED.","Consumer Discretionary Distribution & Retail","16/11/2016",410040000
"ASH","ASHLEY SERVICES GROUP LIMITED","Commercial & Professional Services","21/08/2014",101503012
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","Materials","30/07/2020",185042802
"ASN","ANSON RESOURCES LIMITED","Materials","08/07/2010",187000661
"ASNNB","ANSON RESOURCES LIMITED","Materials","08/07/2010",187000661
"ASO","ASTON MINERALS LIMITED","Materials","04/03/2011",88063744
"ASP","ASPERMONT LIMITED.","Media & Entertainment","27/04/2000",31703928
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","Materials","22/10/2007",11266415
"ASR","ASRA MINERALS LIMITED","Materials","30/06/1986",11744793
"ASW","ADVANCED SHARE REGISTRY LIMITED","Financial Services","10/06/2008",23208933
"ASX","ASX LIMITED","Financial Services","14/10/1998",11962245060
"AT1","ATOMO DIAGNOSTICS LIMITED","Health Care Equipment & Services","16/04/2020",11988711
"ATA","ATTURRA LIMITED","Software & Services","22/12/2021",206947197
"ATC","ALTECH BATTERIES LTD","Materials","27/01/2010",122701865
"ATH","ALTERITY THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/03/2000",14639386
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","Materials","09/08/1999",5143978556
"ATP","ATLAS PEARLS LTD","Consumer Durables & Apparel","31/12/1993",17970614
"ATR","ASTRON CORPORATION LIMITED","Materials","11/11/1983",65453698
"ATS","AUSTRALIS OIL & GAS LIMITED","Energy","25/07/2016",35313496
"ATU","ATRUM COAL LIMITED","Materials","24/07/2012","SUSPENDED"
"ATV","ACTIVEPORT GROUP LTD","Software & Services","20/10/2021",32058709
"ATX","AMPLIA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/12/2013",17072487
"AU1","THE AGENCY GROUP AUSTRALIA LTD","Real Estate Management & Development","18/12/2007",11142991
"AUA","AUDEARA LIMITED","Consumer Durables & Apparel","18/05/2021",6018600
"AUB","AUB GROUP LIMITED","Insurance","16/11/2005",3060290653
"AUC","AUSGOLD LIMITED","Materials","16/12/2009",105622496
"AUE","AURUM RESOURCES LIMITED","Materials","02/11/2021",4650000
"AUG","AUGUSTUS MINERALS LIMITED","Materials","25/05/2023",42879375
"AUH","AUSTCHINA HOLDINGS LIMITED","Energy","17/03/2003",8311535
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","Not Applic","01/01/1974",1230415367
"AUK","AUMAKE LIMITED.","Consumer Discretionary Distribution & Retail","07/12/2011",5205408
"AUN","AURUMIN LIMITED","Materials","09/12/2020",7128406
"AUQ","ALARA RESOURCES LIMITED","Materials","24/05/2007",20106451
"AUR","AURIS MINERALS LIMITED","Materials","15/03/2001",5242886
"AUT","AUTECO MINERALS LTD","Materials","21/09/2005",53195235
"AUZ","AUSTRALIAN MINES LIMITED","Materials","28/09/2001",8453513
"AV1","ADVERITAS LIMITED","Software & Services","18/12/2012",25957413
"AVA","AVA RISK GROUP LIMITED","Technology Hardware & Equipment","11/05/2015",51082927
"AVC","AUCTUS INVESTMENT GROUP LIMITED","Financial Services","10/08/2011",66922265
"AVD","AVADA GROUP LIMITED","Commercial & Professional Services","17/12/2021",54951269
"AVE","AVECHO BIOTECHNOLOGY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/08/1993",10810796
"AVG","AUSTRALIAN VINTAGE LTD","Food, Beverage & Tobacco","26/03/1992",101055394
"AVH","AVITA MEDICAL INC.","Pharmaceuticals, Biotechnology & Life Sciences","24/06/2020",601588949
"AVJ","AVJENNINGS LIMITED","Consumer Durables & Apparel","27/01/1994",158399848
"AVL","AUSTRALIAN VANADIUM LIMITED","Materials","21/02/2007",139677158
"AVM","ADVANCE METALS LIMITED","Materials","20/12/2007",4119911
"AVR","ANTERIS TECHNOLOGIES LTD","Health Care Equipment & Services","24/03/2004",322014229
"AVW","AVIRA RESOURCES LTD","Materials","09/01/2013",4267580
"AVZ","AVZ MINERALS LIMITED","Materials","14/09/2007","SUSPENDED"
"AW1","AMERICAN WEST METALS LIMITED","Materials","13/12/2021",47036060
"AWC","ALUMINA LIMITED","Materials","31/10/1961",3844727878
"AWJ","AURIC MINING LIMITED","Materials","12/02/2021",5496103
"AX1","ACCENT GROUP LIMITED","Consumer Discretionary Distribution & Retail","07/07/2004",845263736
"AX8","ACCELERATE RESOURCES LIMITED","Materials","14/02/2018",6832832
"AXE","ARCHER MATERIALS LIMITED","Semiconductors & Semiconductor Equipment","14/08/2007",165650558
"AXI","AXIOM PROPERTIES LIMITED","Real Estate Management & Development","31/01/1997",19472115
"AXN","ALLIANCE NICKEL LIMITED","Materials","21/08/1980",67745097
"AXP","AXP ENERGY LIMITED","Energy","20/07/2006",8737021
"AYA","ARTRYA LIMITED","Health Care Equipment & Services","26/11/2021",14922409
"AYI","A1 INVESTMENTS & RESOURCES LTD","Financial Services","02/10/2007",20527433
"AYM","AUSTRALIA UNITED MINING LIMITED","Materials","19/09/2011",5527732
"AYT","AUSTIN METALS LIMITED","Materials","06/07/2011",4063499
"AZI","ALTAMIN LIMITED","Materials","24/12/2009",29770473
"AZJ","AURIZON HOLDINGS LIMITED","Transportation","22/11/2010",7068303291
"AZL","ARIZONA LITHIUM LIMITED","Materials","08/07/1971",90739331
"AZS","AZURE MINERALS LIMITED","Materials","16/12/2003",591207649
